eventName,eventDescription,eventCategory,eventType,startDateTime,endDateTime,setup,venue,department
2nd INTERNAL QUALITY AUDIT FOR CY 2024,"To strengthen the university commitment to achieving excellence in the Quality
Management System (ISO 9001:2015).",University,Academic,"10-01-2024, 08:00:00","10-03-2024, 21:00:00",in_person,,All
CONDUCT OF ISO AWARENESS ORIENTATION,"To provide an overview of the ISO standards and their importance for the
organization.",University,Academic,"09-26-2024, 09:00:01","09-26-2024, 12:00:01",virtual,zoom,All
"ATTENDANCE AND PARTICIPATION TO SAS 
ORIENTATION FOR GRADE 11,  FRESHMEN, AND TRANSFEREES.","All concerned faculty are expected to execuse Grade 11 students, freshmen and 
Transfereesfrom their classes during this period to ensure full participation of the latter event.",University,Non-Academic,"09-16-2024, 13:00:02","09-16-2024, 17:00:02",in_person,DRER hall,All
ATTENDANCE AND PARTICIPATION TO A SYMPOSIUM ON YOUTH EMPOWERMENT,"This office requests the full cooperation of all concerned faculty members in ensuring student 
participation and monitoring their attendance at this event.",Student Organization,Academic,"09-03-2024, 13:30:03","09-03-2024, 17:00:03",in_person,DRER hall,"IT, TCM"
"CONDUCT OF THE MIDTERM EXAMINATION FOR 1ST SEMESTER, AY 2024-2025",General Education Courses (ALL Colleges).,University,Academic,"10-10-2024, 08:00:04","10-12-2024, 21:00:04",in_person,,All
"CONDUCT OF THE MIDTERM EXAMINATION FOR 1ST SEMESTER, AY 2024-2025",CEA,College,Academic,"10-14-2024, 08:00:04","10-16-2024, 21:00:04",in_person,,
"CONDUCT OF THE MIDTERM EXAMINATION FOR 1ST SEMESTER, AY 2024-2025",CSM & CSTE,College,Academic,"10-17-2024, 08:00:04","10-18-2024, 21:00:04",in_person,,
"CONDUCT OF THE MIDTERM EXAMINATION FOR 1ST SEMESTER, AY 2024-2025","CITC, COT, & SenHigh",College,Academic,"10-19-2024, 08:00:04","10-21-2024, 21:00:04",in_person,,CITC
Conduct of CY 2024 Third Quarter Nationwide Simultaneous Earthquake Drill (NSED),"Pursuant to the National Disaster Risk Reduction and Management (NDRRM) 
Memorandum No. 020, s. 2024 and CHED Region X Memorandum No. 035, s. 2024, all concerned 
are hereby enjoined to fully participate in the conduct of a quarterly Nationwide Simultaneous 
Earthquake Drill (NSED).",University,Extracurricular Activities,"09-12-2024, 14:00:03","09-12-2024, 15:00:03",in_person,USTP_CDO,All
Attendance to the Intellectual Property Day Celebration 2024,"To highlight the significant role of the academia in propelling innovation, not only within our 
institution, but also on a national scale, all concerned are hereby enjoined to attend the Intellectual 
Property Day Celebration 2024 with the theme, ""IP and the SDGs: Building our Common Future 
with Innovation and Creativity,"".",University,Academic,"08-12-2024, 08:00:03","08-12-2024, 15:00:03",in_person,DRER hall,All
USG General Assembly,Attendance for the Unified General Assembly of Accredited Student Organizations (AY 2024-2025),Student Organization,Academic,"09-24-2024, 08:00:03","09-24-2024, 12:00:03",in_person,DRER hall,CITC
USS General Assembly,Attendance for the Unified General Assembly of Accredited Student Organizations (AY 2024-2025),Student Organization,Non-Academic,"09-24-2024, 15:00:03","09-24-2024, 20:00:03",in_person,DRER hall,CITC
FAESO General Assembly,Attendance for the Unified General Assembly of Accredited Student Organizations (AY 2024-2025),Student Organization,Extracurricular Activities,"09-26-2024, 08:00:03","09-26-2024, 13:00:03",in_person,DRER hall,CITC
Unified General Assembly,Attendance for the Unified General Assembly of Accredited Student Organizations (AY 2024-2025),Student Organization,Academic,"09-24-2024, 08:00:03","09-26-2024, 21:00:03",in_person,DRER hall,CITC
"PAGTUTULUNGAN SA KINABUKASAN: IKAW, BANGKO,
INDUSTRIYA AT GOBYERNO (PAG-IBIG) FUND MEMBERSHIP
IDENTIFICATION (MID) REGISTRATION","Pursuant to the initiatives of the Human Resource Management Office (HRMO), and in
collaboration with the PAGTUTULUNGAN SA KINABUKASAN: IKAW, BANGKO,
INDUSTRIYA AT GOBYERNO (PAG-IBIG) FUND, this office has solicited and secured
the conduct of PAG-IBIG Membership ID (MID) registration for personnel who have not yet
registered to effectuate the mandatory deduction of contributions from all employees concerned.",Personal,Non-School Activities,"09-05-2024, 08:00:03","09-05-2024, 17:00:03",in_person,DRER hall,IT
ATTENDANCE TO ACADEMIC ORIENTATION,Everyone is encouraged to wear smart casual attire since all the faculty members will be introduced on the said event.,University,Academic,"08-08-2024, 08:00:03","08-08-2024, 12:00:03",in_person,DRER hall,All
"SUBMISSION COURSE SYLLABUS FOR 1ST SEM, A.Y. 2024-2025","All department heads are encouraged to direct their respective faculty members to submit their course
syllabi on or before the said date.",College,Academic,"08-10-2024, 08:00:03","08-10-2024, 21:00:00",in_person,,CITC
,,,,,,,,
"
",,,,,,,,
